code,yahoo,name_en,name_zh,market_cap_100m_hkd,board_lot,category,sub_category,price,open,high,low,volume,turnover_proxy,ma5,ma10,dev5,dev10,gain1,gain3,gain5,year_prev_high,three_year_prev_high,history_prev_high,year_high,three_year_high,year_high_breakout,three_year_high_breakout,all_time_high_breakout,year_high_distance,three_year_high_distance,consecutive_3d_gain,consecutive_5d_gain,break_pullback_ma5,break_ma5_pullback_ma10,new_year_high,new_3y_high,new_all_time_high,near_year_high_10pct,near_3y_high_10pct,base_date
0053,0053.HK,GUOCO GROUP,国浩集团,233.63,"1,000",Equity,Equity Securities (Main Board),71.0,71.0,71.0,71.0,2000,0.14,71.03,71.255,-0.04,-0.36,0.0,-0.7,-1.93,76.7,97.0,133.8,76.7,97.0,-7.43,-26.8,-46.94,7.43,26.8,False,False,False,False,False,False,False,True,False,2026-08-28
0058,0058.HK,SUNWAY INT'L,新威国际,1.28,"20,000",Equity,Equity Securities (Main Board),0.249,0.249,0.249,0.249,21200,0.01,0.253,0.257,-1.74,-3.19,2.05,-6.04,-6.04,0.4,0.88,13.0,0.4,0.88,-37.75,-71.7,-98.08,37.75,71.7,False,False,False,False,False,False,False,False,False,2026-08-28
0060,0060.HK,HK FOOD INV,香港食品投资,1.46,"2,000",Equity,Equity Securities (Main Board),0.57,0.55,0.57,0.52,156000,0.09,0.548,0.539,4.01,5.75,4.59,3.64,7.55,0.65,0.77,1.7,0.65,0.77,-12.31,-25.97,-66.47,12.31,25.97,False,False,False,True,False,False,False,False,False,2026-08-28
0062,0062.HK,TRANSPORT INT'L,载通,49.08,400,Equity,Equity Securities (Main Board),9.15,9.13,9.195,9.06,26800,0.25,9.108,9.253,0.46,-1.11,0.22,1.44,0.77,12.2,12.2,26.75,12.2,12.2,-24.63,-24.63,-65.63,25.0,25.0,False,False,False,False,False,False,False,False,False,2026-08-28
0063,0063.HK,CHI ASIA VALLEY,中亚烯谷集团,2.16,"1,000",Equity,Equity Securities (Main Board),0.034,0.034,0.034,0.034,70000,0.0,0.034,0.033,-0.58,3.98,0.0,-2.86,0.0,0.06,0.15,0.96,0.06,0.15,-46.87,-77.33,-96.46,46.87,77.33,False,False,False,False,False,False,False,False,False,2026-08-28
0064,0064.HK,GET NICE,结好控股,23.55,"2,000",Equity,Equity Securities (Main Board),3.81,3.81,3.82,3.8,459050,1.75,3.805,3.802,0.13,0.21,0.0,0.26,0.13,3.86,3.86,7.5,3.86,3.86,-1.04,-1.04,-49.07,1.3,1.3,False,False,False,True,False,False,False,True,True,2026-08-28
0066,0066.HK,MTR CORPORATION,港铁公司,2021.82,500,Equity,Equity Securities (Main Board),32.48,32.56,32.62,32.28,3004123,97.57,32.94,33.106,-1.4,-1.89,-0.25,-2.81,-4.25,37.88,37.88,55.75,37.88,37.88,-13.89,-13.89,-41.49,14.26,14.26,False,False,False,False,False,False,False,False,False,2026-08-28
0068,0068.HK,MANYCORE TECH,MANYCORE TECH,149.83,500,Equity,Equity Securities (Main Board),8.68,9.2,9.345,8.64,2143500,18.61,8.59,8.679,1.05,0.01,-4.09,3.58,-1.03,48.5,48.5,48.5,48.5,48.5,-80.73,-80.73,-80.73,82.1,82.1,False,False,False,True,False,False,False,False,False,2026-08-28
0069,0069.HK,SHANGRI-LA ASIA,香格里拉（亚洲）,147.77,"2,000",Equity,Equity Securities (Main Board),4.115,4.06,4.13,4.04,422100,1.74,4.102,4.13,0.32,-0.36,0.61,0.24,-1.2,5.39,6.27,19.9,5.39,6.27,-23.38,-34.13,-79.25,23.65,34.37,False,False,False,False,False,False,False,False,False,2026-08-28
0070,0070.HK,RICH GOLDMAN,金粤控股,1.07,"10,000",Equity,Equity Securities (Main Board),0.055,0.054,0.057,0.054,220000,0.01,0.051,0.05,7.84,10.66,1.85,12.24,14.58,0.06,0.09,0.48,0.06,0.09,-9.52,-32.94,-88.11,12.7,35.29,False,False,False,False,False,False,False,False,False,2026-08-28
0071,0071.HK,MIRAMAR HOTEL,美丽华酒店,70.06,"1,000",Equity,Equity Securities (Main Board),10.14,10.16,10.16,10.05,29000,0.29,10.178,10.124,-0.37,0.16,-0.2,-0.78,0.5,11.27,11.27,19.3,11.27,11.27,-9.85,-9.85,-47.36,10.03,10.03,False,False,False,False,False,False,False,False,False,2026-08-28
0072,0072.HK,META MEDIA,超媒体控股,1.07,"2,000",Equity,Equity Securities (Main Board),0.243,0.219,0.243,0.218,224000,0.05,0.239,0.253,1.5,-4.14,6.58,-6.54,-10.0,0.31,0.42,1.97,0.31,0.42,-22.86,-42.14,-87.66,22.86,42.14,False,False,False,False,False,False,False,False,False,2026-08-28
0076,0076.HK,ELATE HOLDINGS,谊砾控股,0.74,"4,000",Equity,Equity Securities (Main Board),0.166,0.16,0.166,0.16,536010,0.09,0.158,0.147,4.8,13.16,0.0,2.47,25.76,0.2,0.5,2.54,0.2,0.5,-16.16,-66.8,-93.46,16.16,66.8,False,False,False,False,False,False,False,False,False,2026-08-28
0077,0077.HK,AMS TRANSPORT,进智公共交通,1.51,"2,000",Equity,Equity Securities (Main Board),0.555,0.55,0.555,0.54,280000,0.16,0.547,0.548,1.46,1.19,0.91,4.72,4.72,0.7,0.9,1.68,0.7,0.9,-20.71,-38.33,-66.96,20.71,38.33,False,False,False,True,False,False,False,False,False,2026-08-28
0078,0078.HK,REGAL INT'L,REGAL INT'L,4.04,"2,000",Equity,Equity Securities (Main Board),0.45,0.44,0.46,0.43,378000,0.17,0.429,0.422,4.9,6.51,5.88,4.65,9.76,0.59,3.15,7.16,0.59,3.15,-22.03,-85.4,-93.58,23.73,85.71,False,False,False,False,False,False,False,False,False,2026-08-28
0079,0079.HK,CENTURY LEGEND,世纪建业,0.34,"4,000",Equity,Equity Securities (Main Board),0.103,0.125,0.125,0.102,500000,0.05,0.117,0.122,-11.82,-15.78,-13.45,-18.9,-21.97,0.16,0.17,0.96,0.16,0.17,-23.78,-24.24,-86.98,37.2,37.58,False,False,False,False,False,False,False,False,False,2026-08-28
0080,0080.HK,CAI CORP,ＣＡＩ控股,7.04,"10,000",Equity,Investment Companies,0.27,0.265,0.27,0.255,1320000,0.36,0.265,0.263,1.89,2.47,5.88,1.89,0.0,0.47,0.7,1.63,0.47,0.7,-42.55,-61.43,-83.42,42.55,61.43,False,False,False,True,False,False,False,False,False,2026-08-28
0081,0081.HK,CH OVS G OCEANS,中国海外宏洋集团,101.09,"1,000",Equity,Equity Securities (Main Board),2.84,2.84,2.995,2.77,11442000,32.5,2.759,2.659,2.94,6.81,0.18,4.8,9.86,3.35,3.56,6.12,3.35,3.56,-10.6,-15.87,-51.06,15.22,20.22,False,False,False,False,False,False,False,False,False,2026-08-28
0082,0082.HK,CRAZY SPORTS,疯狂体育,3.39,"2,000",Equity,Equity Securities (Main Board),0.075,0.074,0.075,0.073,662000,0.05,0.073,0.074,2.46,0.67,1.35,4.17,0.0,0.1,0.18,1.0,0.1,0.18,-22.68,-58.1,-92.5,22.68,58.1,True,False,True,True,False,False,False,False,False,2026-08-28
0083,0083.HK,SINO LAND,信和置业,1022.84,"2,000",Equity,Equity Securities (Main Board),10.67,10.74,10.8,10.52,8325276,88.83,10.716,10.583,-0.43,0.82,0.85,-0.84,-1.3,13.3,13.3,15.48,13.3,13.3,-18.8,-18.8,-30.23,19.77,19.77,False,False,False,False,False,False,False,False,False,2026-08-28
0084,0084.HK,STELUX HOLDINGS,宝光实业,0.71,"1,000",Equity,Equity Securities (Main Board),0.068,0.073,0.073,0.068,32000,0.0,0.068,0.069,-0.58,-0.87,0.0,0.0,-2.86,0.09,0.15,0.96,0.09,0.15,-17.05,-50.34,-92.4,22.73,53.74,False,False,False,False,False,False,False,False,False,2026-08-28
0085,0085.HK,CE HUADA TECH,中电华大科技,18.17,"2,000",Equity,Equity Securities (Main Board),0.895,0.895,0.9,0.88,1058000,0.95,0.895,0.905,0.0,-1.16,0.0,0.56,-1.65,1.54,2.09,2.2,1.54,2.09,-41.56,-56.94,-59.09,41.88,57.18,False,False,False,False,False,False,False,False,False,2026-08-28
0086,0086.HK,SUN HUNG KAI CO,新鸿基公司,80.88,"1,000",Equity,Equity Securities (Main Board),4.125,4.1,4.125,4.1,151000,0.62,4.115,4.08,0.24,1.1,-0.48,-0.12,0.73,4.5,4.5,5.9,4.5,4.5,-8.33,-8.33,-30.08,8.33,8.33,False,False,True,False,False,False,False,True,True,2026-08-28
0087,0087.HK,SWIRE PACIFIC B,太古股份公司Ｂ,433.04,"2,500",Equity,Equity Securities (Main Board),15.2,15.18,15.25,15.04,290085,4.41,15.31,15.27,-0.72,-0.46,-0.85,-1.62,-2.31,15.8,15.8,16.34,15.8,15.8,-3.48,-3.48,-6.67,3.8,3.8,False,False,False,False,False,False,False,True,True,2026-08-28
0089,0089.HK,TAI SANG LAND,大生地产,5.61,"1,000",Equity,Equity Securities (Main Board),1.95,1.945,1.95,1.945,19000,0.04,1.923,1.961,1.4,-0.59,1.83,1.3,-2.5,2.58,3.28,6.31,2.58,3.28,-24.42,-40.55,-69.1,24.42,40.55,False,False,False,False,False,False,False,False,False,2026-08-28
0090,0090.HK,PUXING ENERGY,普星能量,3.99,"2,000",Equity,Equity Securities (Main Board),0.87,0.91,0.91,0.87,18000,0.02,0.874,0.894,-0.46,-2.74,0.0,-1.14,-1.14,1.36,2.28,2.28,1.36,2.28,-33.09,-60.09,-60.09,36.03,61.84,False,False,False,False,False,False,False,False,False,2026-08-28
